"FolderName","FileCount","LatestWriteTime","TotalSizeMB"
"[제안실주]","17220","26-04-26 일요일 오후 8:37:36","75691.56"
"[제안검토]","5431","26-02-27 금요일 오후 2:38:30","17809.46"
"202212. k-water 데이터허브플랫폼_ISP","3418","24-09-19 목요일 오후 3:45:48","18764.05"
"202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP","2882","26-04-21 화요일 오후 5:42:33","4113.84"
"142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP","2705","25-12-08 월요일 오전 8:47:27","7355.53"
"61. 농정원 AGRIX","1930","24-10-15 화요일 오후 5:22:37","4124.23"
"72. LH 스마트시티플랫폼","1899","24-07-03 수요일 오후 4:22:37","8761"
"56. 자율주행차_성과평가","1737","24-07-05 금요일 오전 10:37:35","2697.56"
"112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP","1497","25-01-03 금요일 오전 1:39:37","4359.78"
"202403. 기재부_전자수입인지 기관선정연구","1414","24-11-19 화요일 오후 4:25:51","3247.01"
"202503. AX 활용 정보화전략계획수립_서울주택도시개발공사","1350","26-04-21 화요일 오후 5:42:28","5425.88"
"191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립","1175","24-02-08 목요일 오후 1:27:02","4923.05"
"201703. 통계청 통계지리정보서비스 ISP","1149","24-03-05 화요일 오전 11:52:25","7036.85"
"64. 재난정신건강서비스","915","24-02-13 화요일 오전 9:12:15","2815.63"
"202312. 법무부_디지털플랫폼 교육강화, 환경개선 로드맵 연구사업","889","24-07-05 금요일 오후 2:50:00","2135.25"
"149. 국토지리정보원","863","24-02-13 화요일 오후 2:51:00","4580.45"
"202305. AI 기반 지능형 진로교육정보망","787","24-05-29 수요일 오후 4:32:56","3519.55"
"215. K-water 데이터허브","765","24-07-05 금요일 오전 11:23:46","5712.46"
"[■타컨설팅사 제안서■]","751","26-03-13 금요일 오후 10:24:48","2703.02"
"위즐리 유니버시티","730","26-03-26 목요일 오후 8:19:04","1220.22"
"90. 안양시청","686","24-02-13 화요일 오전 11:28:59","4904.07"
"202508  선관위 기능점수산정","661","25-10-10 금요일 오후 2:51:31","359.28"
"53. 기상청(기상산업진흥원)","637","24-02-13 화요일 오후 3:49:53","2466.47"
"202407. 범죄예방정책_거대언어모델 도입활용방안 연구","608","24-12-27 금요일 오전 11:18:17","1767.18"
"94. 정신건강포털 ISP","588","24-03-20 수요일 오후 4:56:25","2902.17"
"46. 기재부수입인지구축","528","24-09-12 목요일 오후 8:05:23","1380.1"
"47. 생활화학제품 및 살생물제 관리제도 도입을 위한 ISP수립","511","24-02-13 화요일 오전 10:43:23","1222.69"
"205. 전화시스템 고도화를 위한 ISP 사업","497","26-03-10 화요일 오후 3:33:06","1801.39"
"202503. 스토킹 전자장치 부과제도 관련 경찰, 법무 시스템 연계 ISP 사업","454","26-01-15 목요일 오후 3:41:35","1914.55"
"42. 국토지리정보원","434","24-07-01 월요일 오후 7:07:08","1591.61"
"202507. 농정원 수준진단 사업","432","26-01-23 금요일 오후 6:44:46","1631.35"
"196. 정신건강 평가시스템 ISP","418","24-02-08 목요일 오전 11:28:18","926.18"
"177. 국가정신건강 과제관리시스템 구축을 위한 연구개발","403","24-02-08 목요일 오후 1:09:26","1779.93"
"40.(원47) 국립정신건강센터","392","24-02-13 화요일 오전 10:48:42","815.45"
"202403. 품관원_공간정보품질관리원 지속성 강화 방안 연구","372","24-12-18 수요일 오전 10:15:18","2978.13"
"168. 서울시 119행정정보 서비스 개선 ISP","371","25-07-22 화요일 오후 12:35:39","1191.74"
"MISC 폴더","339","24-07-22 월요일 오후 3:58:17","2615.29"
"43. 환경산업기술원","329","24-02-13 화요일 오전 11:03:37","1250.61"
"34. 법무부","319","24-03-25 월요일 오후 5:31:58","1425.96"
"216. 정신의료기관 통합정보시스템 구축을 위한 ISP 컨설팅 사업","297","24-02-08 목요일 오전 11:05:40","1038.34"
"2212. k-water 데이터허브플랫폼_ISP","296","26-01-08 목요일 오후 9:10:42","2769.15"
"202507. 소방출동 데이터 기반, AI빅데이터 분석시스템 구축 ISP","291","25-11-19 수요일 오후 2:23:31","3080.04"
"123. 외교부 국민외교 빅데이터","290","24-04-05 금요일 오후 2:15:08","1424.74"
"84. 농정원 빅데이터 ISP","284","24-02-13 화요일 오후 3:13:37","2069.55"
"174. 국가정신건강통계시스템 구축을 위한 컨설팅","275","24-02-13 화요일 오전 10:02:30","1940.65"
"157. AI 감사시스템","245","25-05-09 금요일 오전 10:37:56","561.12"
"202407. 양형기준 운영점검시스템 및 양형정보시스템의 고도화를 위한 AI시스템 구축 ISP","233","26-03-06 금요일 오후 1:54:49","167.76"
"591. 수소차충돌통합안전성","231","20-01-22 수요일 오전 11:50:17","1283.14"
"195. KEIT 성과관리시스템 개선을 위한 ISPISMP","218","26-02-26 목요일 오후 3:06:55","891.22"
"700. 스마트시티","211","22-04-22 금요일 오후 3:17:13","1902.92"
"82. 정신건강_MHIS","202","24-02-13 화요일 오전 10:23:20","538.36"
"202507. 국토연구원감리","182","26-04-16 목요일 오후 8:02:00","1009.89"
"95. 정신건강응급시스템","181","24-02-08 목요일 오후 2:26:07","634.75"
"44. 대구수성 Smart City","157","24-02-14 수요일 오후 2:00:58","999.28"
"135. 서울시 건축주택종합정보시스템 구축을 위한 정보전략계획(ISP) 수립","155","24-02-08 목요일 오후 2:07:13","813.29"
"202604. 과기정통부 AI-NEXT 고도화 ISP 수립","139","26-04-03 금요일 오전 10:06:03","964.24"
"403. NIA 데이터플래그쉽","132","24-03-04 월요일 오후 2:57:04","325.95"
"202506. KOFIH 보건의료지원사업 성과 및 사업통합관리시스템 ISP 수립 연구","130","25-07-07 월요일 오후 9:04:16","1050.7"
"202408. 축산 유통 데이터랩 고도화","130","24-10-23 수요일 오후 7:46:04","1368.56"
"202411 SK브로드밴드 신규사업모델수립 컨설팅","115","25-09-25 목요일 오전 12:30:32","873.27"
"125. 서울시 건축물 에너지 ISP","106","24-11-25 월요일 오후 5:37:47","725.29"
"124. KOTRA ITO 서비스 개선 컨설팅","96","24-07-05 금요일 오전 11:14:34","254.85"
"217. 산기평 PMO","96","24-07-05 금요일 오후 1:20:32","507.61"
"202512. 농정원 NAIS 시스템 현황조사 용역","94","25-12-29 월요일 오후 2:23:48","201.05"
"55. 기상청 기후자료","80","24-02-14 수요일 오전 9:29:30","349.11"
"151. 도로공사 AI로드맵","79","24-02-13 화요일 오후 2:55:34","139.29"
"900. 타업체 제안서","79","21-02-12 금요일 오후 6:05:23","482.77"
"202501  한전 KPS","77","25-02-13 목요일 오후 5:59:33","507.57"
"39. 심사평가원","74","24-02-14 수요일 오후 2:21:19","189.47"
"202508. 인공지능 활용을 통한 과기정통부 행정의 생산성 및 효율성 강화 방안 연구","71","25-10-20 월요일 오전 11:37:55","620.3"
"53-2. 기상청통합관측망구축","60","24-07-05 금요일 오전 10:27:56","202.82"
"★★제안준비_생성폴더★★","58","25-08-25 월요일 오후 9:36:27","382.42"
"202405. NIA 초거대AI 활용지원","56","25-02-27 목요일 오후 5:55:57","130.53"
"48. 사회보장정보원","55","24-03-04 월요일 오전 11:20:36","342.81"
"176. AI기반의 e-감사시스템 구축 PMO 사업","48","24-02-08 목요일 오후 1:23:31","113.57"
"202508. 인공지능 활용을 통한 과기정통부 행정 강화(diskstation)","47","26-04-03 금요일 오후 3:18:54","242.54"
"03. 사업수행","44","24-05-31 금요일 오후 1:50:28","159.04"
"190. 생명존중희망재단","40","22-05-12 목요일 오후 4:35:34","321.29"
